state,indicator_id,indicator_name,sub_indicator_id,question_number,question,response_type,selected_answer,points,link_to_source
Adamawa,access_to_skilled_labour,Access to Skilled Labour,education_investment,1,"Post-secondary graduates relative to population",tier_band,,,
Adamawa,contract_enforcement,Contract Enforcement and Commercial Dispute Resolution,alternative_dispute_resolution,2,"Does the state have ADR?",yes_no,,,
Adamawa,contract_enforcement,Contract Enforcement and Commercial Dispute Resolution,commercial_court,1,"Does the state have a commercial court?",yes_no,,,
Adamawa,crisis_resilience,Crisis Resilience and Business Continuity,emergency_agency,1,"Does the state have a functional emergency management agency?",yes_no,,,
Adamawa,crisis_resilience,Crisis Resilience and Business Continuity,sema_funding,2,"Is the SEMA or equivalent agency visibly funded in the current state budget?",yes_no,,,
Adamawa,digital_connectivity,Digital Connectivity,coverage_5g,3,"5G coverage",yes_no,,,
Adamawa,digital_connectivity,Digital Connectivity,gov_services_online,2,"Availability of government services online",yes_partial_no,,,
Adamawa,digital_connectivity,Digital Connectivity,right_of_way,1,"Right of Way (RoW) fees",multi_choice,,,
Adamawa,export_import_facilitation,Export-Import Facilitation,StateChamberOfCommerce,2,"Have state chamber of commerce",yes_no,,,
Adamawa,export_import_facilitation,Export-Import Facilitation,totalExporters_perState,1,"Total number of exporters per state",count_band,,,
Adamawa,getting_credit,Getting Credit,boi_collaboration,1,"Does the state collaborate with BOI or any federal Agency to create access to credit?",yes_no,,,
Adamawa,getting_credit,Getting Credit,microfinance_banks,2,"Have owned microfinance banks or cooperatives?",yes_no,,,
Adamawa,grievance_redress_mechanisms,Grievance Redress Mechanisms,accessibility_and_channels,2,"How accessible is the state's Grievance Redress Mechanism?",multi_choice,,,
Adamawa,grievance_redress_mechanisms,Grievance Redress Mechanisms,centralized_grm,1,"Does the state have a centralized Grievance Redress Mechanism?",multi_choice,,,
Adamawa,infrastructure,Infrastructure,airport_cargo_functional,2,"Airport/Cargo Airport (Functional)",yes_no,,,
Adamawa,infrastructure,Infrastructure,railway,3,"Rail Line (Functional)",yes_no,,,
Adamawa,infrastructure,Infrastructure,renewable_energy_evs_cng,1,"Renewable Energy (Launch of State's EVs and CNG Transport Solutions)",yes_no,,,
Adamawa,interstate_trade,Interstate Trade,haulage_fees,1,"Elimination of haulage fees via law/executive order and enforcement",yes_no,,,
Adamawa,interstate_trade,Interstate Trade,state_owned_transport_assets,2,"""Presence of state owned airports, air carriers, rail, seaport and dry port (0, 1.5, 3 points)""",points_scale,,,
Adamawa,investor_aftercare_service,Investor Aftercare Service,designated_desk,1,"Does the state have a designated investor aftercare desk/department?",yes_no,,,
Adamawa,land_registration,Land Registration,certificate_time,2,"Days for CofO",time_band,,,
Adamawa,land_registration,Land Registration,gis_functionality,4,"Availability of GIS",yes_no_variant,,,
Adamawa,land_registration,Land Registration,procedures_availability,3,"Procedure/fees publicly available",multi_choice,,,
Adamawa,land_registration,Land Registration,process_automation,1,"Process type",multi_choice,,,
Adamawa,market_access,Market Access and Competition,one_stop_shop,1,"Does the State have a one stop shop?",yes_no,,,
Adamawa,market_access,Market Access and Competition,public_incentives,2,"Does the state have public incentives?",yes_no,,,
Adamawa,paying_taxes,Paying Taxes,tax_filing_burden,2,"How burdensome is the tax filing process for taxpayers in the state?",multi_choice,,,
Adamawa,paying_taxes,Paying Taxes,tax_incentive_transparency,3,"How transparent and accessible is the state's tax incentive and exemption framework?",multi_choice,,,
Adamawa,paying_taxes,Paying Taxes,tax_payment_transparency,1,"How does the state facilitate tax payment collection and provide transaction transparency to taxpayers?",multi_choice,,,
Adamawa,small_claims_courts,Small Claims Courts,compliance_reporting,2,"Compliance with publishing report",multi_choice,,,
Adamawa,small_claims_courts,Small Claims Courts,number_of_courts,1,"Number of SCCs established and actively sitting in main city",count_band,,,
Adamawa,workforce_development,Workforce Development and Social Infrastructure,gender_inclusivity,2,"Does the state meet the gender inclusivity benchmark?",yes_no,,,
Adamawa,workforce_development,Workforce Development and Social Infrastructure,social_security_systems,1,"Does the state operate social security systems for vulnerable populations?",yes_no,,,
Akwa Ibom,access_to_electricity,Access to Electricity,band_a_shares,1,"Band A Share of Feeders",percentage_band,,,
Akwa Ibom,access_to_electricity,Access to Electricity,state_owned_electricity_regulator,2,"State Owned Electricity Regulation",yes_no_transition,,,
Akwa Ibom,access_to_skilled_labour,Access to Skilled Labour,accredited_institutions,2,"How many accredited tertiary and technical institutions are available in the state?",count_band,,,
Akwa Ibom,access_to_skilled_labour,Access to Skilled Labour,education_investment,1,"Post-secondary graduates relative to population",tier_band,,,
Akwa Ibom,contract_enforcement,Contract Enforcement and Commercial Dispute Resolution,alternative_dispute_resolution,2,"Does the state have ADR?",yes_no,,,
Akwa Ibom,contract_enforcement,Contract Enforcement and Commercial Dispute Resolution,commercial_court,1,"Does the state have a commercial court?",yes_no,,,
Akwa Ibom,crisis_resilience,Crisis Resilience and Business Continuity,emergency_agency,1,"Does the state have a functional emergency management agency?",yes_no,,,
Akwa Ibom,crisis_resilience,Crisis Resilience and Business Continuity,sema_funding,2,"Is the SEMA or equivalent agency visibly funded in the current state budget?",yes_no,,,
Akwa Ibom,digital_connectivity,Digital Connectivity,coverage_5g,3,"5G coverage",yes_no,,,
Akwa Ibom,digital_connectivity,Digital Connectivity,gov_services_online,2,"Availability of government services online",yes_partial_no,,,
Akwa Ibom,digital_connectivity,Digital Connectivity,right_of_way,1,"Right of Way (RoW) fees",multi_choice,,,
Akwa Ibom,export_import_facilitation,Export-Import Facilitation,StateChamberOfCommerce,2,"Have state chamber of commerce",yes_no,,,
Akwa Ibom,export_import_facilitation,Export-Import Facilitation,totalExporters_perState,1,"Total number of exporters per state",count_band,,,
Akwa Ibom,getting_credit,Getting Credit,boi_collaboration,1,"Does the state collaborate with BOI or any federal Agency to create access to credit?",yes_no,,,
Akwa Ibom,getting_credit,Getting Credit,microfinance_banks,2,"Have owned microfinance banks or cooperatives?",yes_no,,,
Akwa Ibom,grievance_redress_mechanisms,Grievance Redress Mechanisms,accessibility_and_channels,2,"How accessible is the state's Grievance Redress Mechanism?",multi_choice,,,
Akwa Ibom,grievance_redress_mechanisms,Grievance Redress Mechanisms,centralized_grm,1,"Does the state have a centralized Grievance Redress Mechanism?",multi_choice,,,
Akwa Ibom,infrastructure,Infrastructure,airport_cargo_functional,2,"Airport/Cargo Airport (Functional)",yes_no,,,
Akwa Ibom,infrastructure,Infrastructure,railway,3,"Rail Line (Functional)",yes_no,,,
Akwa Ibom,infrastructure,Infrastructure,renewable_energy_evs_cng,1,"Renewable Energy (Launch of State's EVs and CNG Transport Solutions)",yes_no,,,
Akwa Ibom,interstate_trade,Interstate Trade,haulage_fees,1,"Elimination of haulage fees via law/executive order and enforcement",yes_no,,,
Akwa Ibom,interstate_trade,Interstate Trade,state_owned_transport_assets,2,"""Presence of state owned airports, air carriers, rail, seaport and dry port (0, 1.5, 3 points)""",points_scale,,,
Akwa Ibom,investor_aftercare_service,Investor Aftercare Service,designated_desk,1,"Does the state have a designated investor aftercare desk/department?",yes_no,,,
Akwa Ibom,land_registration,Land Registration,certificate_time,2,"Days for CofO",time_band,,,
Akwa Ibom,land_registration,Land Registration,gis_functionality,4,"Availability of GIS",yes_no_variant,,,
Akwa Ibom,land_registration,Land Registration,procedures_availability,3,"Procedure/fees publicly available",multi_choice,,,
Akwa Ibom,land_registration,Land Registration,process_automation,1,"Process type",multi_choice,,,
Akwa Ibom,market_access,Market Access and Competition,one_stop_shop,1,"Does the State have a one stop shop?",yes_no,,,
Akwa Ibom,market_access,Market Access and Competition,public_incentives,2,"Does the state have public incentives?",yes_no,,,
Akwa Ibom,paying_taxes,Paying Taxes,tax_filing_burden,2,"How burdensome is the tax filing process for taxpayers in the state?",multi_choice,,,
Akwa Ibom,paying_taxes,Paying Taxes,tax_incentive_transparency,3,"How transparent and accessible is the state's tax incentive and exemption framework?",multi_choice,,,
Akwa Ibom,paying_taxes,Paying Taxes,tax_payment_transparency,1,"How does the state facilitate tax payment collection and provide transaction transparency to taxpayers?",multi_choice,,,
Akwa Ibom,small_claims_courts,Small Claims Courts,compliance_reporting,2,"Compliance with publishing report",multi_choice,,,
Akwa Ibom,small_claims_courts,Small Claims Courts,number_of_courts,1,"Number of SCCs established and actively sitting in main city",count_band,,,
Akwa Ibom,workforce_development,Workforce Development and Social Infrastructure,gender_inclusivity,2,"Does the state meet the gender inclusivity benchmark?",yes_no,,,
Akwa Ibom,workforce_development,Workforce Development and Social Infrastructure,social_security_systems,1,"Does the state operate social security systems for vulnerable populations?",yes_no,,,
Anambra,access_to_electricity,Access to Electricity,band_a_shares,1,"Band A Share of Feeders",percentage_band,,,
Anambra,access_to_electricity,Access to Electricity,state_owned_electricity_regulator,2,"State Owned Electricity Regulation",yes_no_transition,,,
Anambra,access_to_skilled_labour,Access to Skilled Labour,accredited_institutions,2,"How many accredited tertiary and technical institutions are available in the state?",count_band,,,
Anambra,access_to_skilled_labour,Access to Skilled Labour,education_investment,1,"Post-secondary graduates relative to population",tier_band,,,
Anambra,contract_enforcement,Contract Enforcement and Commercial Dispute Resolution,alternative_dispute_resolution,2,"Does the state have ADR?",yes_no,,,
Anambra,contract_enforcement,Contract Enforcement and Commercial Dispute Resolution,commercial_court,1,"Does the state have a commercial court?",yes_no,,,
Anambra,crisis_resilience,Crisis Resilience and Business Continuity,emergency_agency,1,"Does the state have a functional emergency management agency?",yes_no,,,
Anambra,crisis_resilience,Crisis Resilience and Business Continuity,sema_funding,2,"Is the SEMA or equivalent agency visibly funded in the current state budget?",yes_no,,,
Anambra,digital_connectivity,Digital Connectivity,coverage_5g,3,"5G coverage",yes_no,,,
Anambra,digital_connectivity,Digital Connectivity,gov_services_online,2,"Availability of government services online",yes_partial_no,,,
Anambra,digital_connectivity,Digital Connectivity,right_of_way,1,"Right of Way (RoW) fees",multi_choice,,,
Anambra,export_import_facilitation,Export-Import Facilitation,StateChamberOfCommerce,2,"Have state chamber of commerce",yes_no,,,
Anambra,export_import_facilitation,Export-Import Facilitation,totalExporters_perState,1,"Total number of exporters per state",count_band,,,
Anambra,getting_credit,Getting Credit,boi_collaboration,1,"Does the state collaborate with BOI or any federal Agency to create access to credit?",yes_no,,,
Anambra,getting_credit,Getting Credit,microfinance_banks,2,"Have owned microfinance banks or cooperatives?",yes_no,,,
Anambra,grievance_redress_mechanisms,Grievance Redress Mechanisms,accessibility_and_channels,2,"How accessible is the state's Grievance Redress Mechanism?",multi_choice,,,
Anambra,grievance_redress_mechanisms,Grievance Redress Mechanisms,centralized_grm,1,"Does the state have a centralized Grievance Redress Mechanism?",multi_choice,,,
Anambra,infrastructure,Infrastructure,airport_cargo_functional,2,"Airport/Cargo Airport (Functional)",yes_no,,,
Anambra,infrastructure,Infrastructure,railway,3,"Rail Line (Functional)",yes_no,,,
Anambra,infrastructure,Infrastructure,renewable_energy_evs_cng,1,"Renewable Energy (Launch of State's EVs and CNG Transport Solutions)",yes_no,,,
Anambra,interstate_trade,Interstate Trade,haulage_fees,1,"Elimination of haulage fees via law/executive order and enforcement",yes_no,,,
Anambra,interstate_trade,Interstate Trade,state_owned_transport_assets,2,"""Presence of state owned airports, air carriers, rail, seaport and dry port (0, 1.5, 3 points)""",points_scale,,,
Anambra,investor_aftercare_service,Investor Aftercare Service,designated_desk,1,"Does the state have a designated investor aftercare desk/department?",yes_no,,,
Anambra,land_registration,Land Registration,certificate_time,2,"Days for CofO",time_band,,,
Anambra,land_registration,Land Registration,gis_functionality,4,"Availability of GIS",yes_no_variant,,,
Anambra,land_registration,Land Registration,procedures_availability,3,"Procedure/fees publicly available",multi_choice,,,
Anambra,land_registration,Land Registration,process_automation,1,"Process type",multi_choice,,,
Anambra,market_access,Market Access and Competition,one_stop_shop,1,"Does the State have a one stop shop?",yes_no,,,
Anambra,market_access,Market Access and Competition,public_incentives,2,"Does the state have public incentives?",yes_no,,,
Anambra,paying_taxes,Paying Taxes,tax_filing_burden,2,"How burdensome is the tax filing process for taxpayers in the state?",multi_choice,,,
Anambra,paying_taxes,Paying Taxes,tax_incentive_transparency,3,"How transparent and accessible is the state's tax incentive and exemption framework?",multi_choice,,,
Anambra,paying_taxes,Paying Taxes,tax_payment_transparency,1,"How does the state facilitate tax payment collection and provide transaction transparency to taxpayers?",multi_choice,,,
Anambra,small_claims_courts,Small Claims Courts,compliance_reporting,2,"Compliance with publishing report",multi_choice,,,
Anambra,small_claims_courts,Small Claims Courts,number_of_courts,1,"Number of SCCs established and actively sitting in main city",count_band,,,
Anambra,workforce_development,Workforce Development and Social Infrastructure,gender_inclusivity,2,"Does the state meet the gender inclusivity benchmark?",yes_no,,,
Anambra,workforce_development,Workforce Development and Social Infrastructure,social_security_systems,1,"Does the state operate social security systems for vulnerable populations?",yes_no,,,
Bauchi,access_to_electricity,Access to Electricity,band_a_shares,1,"Band A Share of Feeders",percentage_band,,,
Bauchi,access_to_electricity,Access to Electricity,state_owned_electricity_regulator,2,"State Owned Electricity Regulation",yes_no_transition,,,
Bauchi,access_to_skilled_labour,Access to Skilled Labour,accredited_institutions,2,"How many accredited tertiary and technical institutions are available in the state?",count_band,,,
Bauchi,access_to_skilled_labour,Access to Skilled Labour,education_investment,1,"Post-secondary graduates relative to population",tier_band,,,
Bauchi,contract_enforcement,Contract Enforcement and Commercial Dispute Resolution,alternative_dispute_resolution,2,"Does the state have ADR?",yes_no,,,
Bauchi,contract_enforcement,Contract Enforcement and Commercial Dispute Resolution,commercial_court,1,"Does the state have a commercial court?",yes_no,,,
Bauchi,crisis_resilience,Crisis Resilience and Business Continuity,emergency_agency,1,"Does the state have a functional emergency management agency?",yes_no,,,
Bauchi,crisis_resilience,Crisis Resilience and Business Continuity,sema_funding,2,"Is the SEMA or equivalent agency visibly funded in the current state budget?",yes_no,,,
Bauchi,digital_connectivity,Digital Connectivity,coverage_5g,3,"5G coverage",yes_no,,,
Bauchi,digital_connectivity,Digital Connectivity,gov_services_online,2,"Availability of government services online",yes_partial_no,,,
Bauchi,digital_connectivity,Digital Connectivity,right_of_way,1,"Right of Way (RoW) fees",multi_choice,,,
Bauchi,export_import_facilitation,Export-Import Facilitation,StateChamberOfCommerce,2,"Have state chamber of commerce",yes_no,,,
Bauchi,export_import_facilitation,Export-Import Facilitation,totalExporters_perState,1,"Total number of exporters per state",count_band,,,
Bauchi,getting_credit,Getting Credit,boi_collaboration,1,"Does the state collaborate with BOI or any federal Agency to create access to credit?",yes_no,,,
Bauchi,getting_credit,Getting Credit,microfinance_banks,2,"Have owned microfinance banks or cooperatives?",yes_no,,,
Bauchi,grievance_redress_mechanisms,Grievance Redress Mechanisms,accessibility_and_channels,2,"How accessible is the state's Grievance Redress Mechanism?",multi_choice,,,
Bauchi,grievance_redress_mechanisms,Grievance Redress Mechanisms,centralized_grm,1,"Does the state have a centralized Grievance Redress Mechanism?",multi_choice,,,
Bauchi,infrastructure,Infrastructure,airport_cargo_functional,2,"Airport/Cargo Airport (Functional)",yes_no,,,
Bauchi,infrastructure,Infrastructure,railway,3,"Rail Line (Functional)",yes_no,,,
Bauchi,infrastructure,Infrastructure,renewable_energy_evs_cng,1,"Renewable Energy (Launch of State's EVs and CNG Transport Solutions)",yes_no,,,
Bauchi,interstate_trade,Interstate Trade,haulage_fees,1,"Elimination of haulage fees via law/executive order and enforcement",yes_no,,,
Bauchi,interstate_trade,Interstate Trade,state_owned_transport_assets,2,"""Presence of state owned airports, air carriers, rail, seaport and dry port (0, 1.5, 3 points)""",points_scale,,,
Bauchi,investor_aftercare_service,Investor Aftercare Service,designated_desk,1,"Does the state have a designated investor aftercare desk/department?",yes_no,,,
Bauchi,land_registration,Land Registration,certificate_time,2,"Days for CofO",time_band,,,
Bauchi,land_registration,Land Registration,gis_functionality,4,"Availability of GIS",yes_no_variant,,,
Bauchi,land_registration,Land Registration,procedures_availability,3,"Procedure/fees publicly available",multi_choice,,,
Bauchi,land_registration,Land Registration,process_automation,1,"Process type",multi_choice,,,
Bauchi,market_access,Market Access and Competition,one_stop_shop,1,"Does the State have a one stop shop?",yes_no,,,
Bauchi,market_access,Market Access and Competition,public_incentives,2,"Does the state have public incentives?",yes_no,,,
Bauchi,paying_taxes,Paying Taxes,tax_filing_burden,2,"How burdensome is the tax filing process for taxpayers in the state?",multi_choice,,,
Bauchi,paying_taxes,Paying Taxes,tax_incentive_transparency,3,"How transparent and accessible is the state's tax incentive and exemption framework?",multi_choice,,,
Bauchi,paying_taxes,Paying Taxes,tax_payment_transparency,1,"How does the state facilitate tax payment collection and provide transaction transparency to taxpayers?",multi_choice,,,
Bauchi,small_claims_courts,Small Claims Courts,compliance_reporting,2,"Compliance with publishing report",multi_choice,,,
Bauchi,small_claims_courts,Small Claims Courts,number_of_courts,1,"Number of SCCs established and actively sitting in main city",count_band,,,
Bauchi,workforce_development,Workforce Development and Social Infrastructure,gender_inclusivity,2,"Does the state meet the gender inclusivity benchmark?",yes_no,,,
Bauchi,workforce_development,Workforce Development and Social Infrastructure,social_security_systems,1,"Does the state operate social security systems for vulnerable populations?",yes_no,,,
Bayelsa,access_to_electricity,Access to Electricity,band_a_shares,1,"Band A Share of Feeders",percentage_band,,,
Bayelsa,access_to_electricity,Access to Electricity,state_owned_electricity_regulator,2,"State Owned Electricity Regulation",yes_no_transition,,,
Bayelsa,access_to_skilled_labour,Access to Skilled Labour,accredited_institutions,2,"How many accredited tertiary and technical institutions are available in the state?",count_band,,,
Bayelsa,access_to_skilled_labour,Access to Skilled Labour,education_investment,1,"Post-secondary graduates relative to population",tier_band,,,
Bayelsa,contract_enforcement,Contract Enforcement and Commercial Dispute Resolution,alternative_dispute_resolution,2,"Does the state have ADR?",yes_no,,,
Bayelsa,contract_enforcement,Contract Enforcement and Commercial Dispute Resolution,commercial_court,1,"Does the state have a commercial court?",yes_no,,,
Bayelsa,crisis_resilience,Crisis Resilience and Business Continuity,emergency_agency,1,"Does the state have a functional emergency management agency?",yes_no,,,
Bayelsa,crisis_resilience,Crisis Resilience and Business Continuity,sema_funding,2,"Is the SEMA or equivalent agency visibly funded in the current state budget?",yes_no,,,
Bayelsa,digital_connectivity,Digital Connectivity,coverage_5g,3,"5G coverage",yes_no,,,
Bayelsa,digital_connectivity,Digital Connectivity,gov_services_online,2,"Availability of government services online",yes_partial_no,,,
Bayelsa,digital_connectivity,Digital Connectivity,right_of_way,1,"Right of Way (RoW) fees",multi_choice,,,
Bayelsa,export_import_facilitation,Export-Import Facilitation,StateChamberOfCommerce,2,"Have state chamber of commerce",yes_no,,,
Bayelsa,export_import_facilitation,Export-Import Facilitation,totalExporters_perState,1,"Total number of exporters per state",count_band,,,
Bayelsa,getting_credit,Getting Credit,boi_collaboration,1,"Does the state collaborate with BOI or any federal Agency to create access to credit?",yes_no,,,
Bayelsa,getting_credit,Getting Credit,microfinance_banks,2,"Have owned microfinance banks or cooperatives?",yes_no,,,
Bayelsa,grievance_redress_mechanisms,Grievance Redress Mechanisms,accessibility_and_channels,2,"How accessible is the state's Grievance Redress Mechanism?",multi_choice,,,
Bayelsa,grievance_redress_mechanisms,Grievance Redress Mechanisms,centralized_grm,1,"Does the state have a centralized Grievance Redress Mechanism?",multi_choice,,,
Bayelsa,infrastructure,Infrastructure,airport_cargo_functional,2,"Airport/Cargo Airport (Functional)",yes_no,,,
Bayelsa,infrastructure,Infrastructure,railway,3,"Rail Line (Functional)",yes_no,,,
Bayelsa,infrastructure,Infrastructure,renewable_energy_evs_cng,1,"Renewable Energy (Launch of State's EVs and CNG Transport Solutions)",yes_no,,,
Bayelsa,interstate_trade,Interstate Trade,haulage_fees,1,"Elimination of haulage fees via law/executive order and enforcement",yes_no,,,
Bayelsa,interstate_trade,Interstate Trade,state_owned_transport_assets,2,"""Presence of state owned airports, air carriers, rail, seaport and dry port (0, 1.5, 3 points)""",points_scale,,,
Bayelsa,investor_aftercare_service,Investor Aftercare Service,designated_desk,1,"Does the state have a designated investor aftercare desk/department?",yes_no,,,
Bayelsa,land_registration,Land Registration,certificate_time,2,"Days for CofO",time_band,,,
Bayelsa,land_registration,Land Registration,gis_functionality,4,"Availability of GIS",yes_no_variant,,,
Bayelsa,land_registration,Land Registration,procedures_availability,3,"Procedure/fees publicly available",multi_choice,,,
Bayelsa,land_registration,Land Registration,process_automation,1,"Process type",multi_choice,,,
Bayelsa,market_access,Market Access and Competition,one_stop_shop,1,"Does the State have a one stop shop?",yes_no,,,
Bayelsa,market_access,Market Access and Competition,public_incentives,2,"Does the state have public incentives?",yes_no,,,
Bayelsa,paying_taxes,Paying Taxes,tax_filing_burden,2,"How burdensome is the tax filing process for taxpayers in the state?",multi_choice,,,
Bayelsa,paying_taxes,Paying Taxes,tax_incentive_transparency,3,"How transparent and accessible is the state's tax incentive and exemption framework?",multi_choice,,,
Bayelsa,paying_taxes,Paying Taxes,tax_payment_transparency,1,"How does the state facilitate tax payment collection and provide transaction transparency to taxpayers?",multi_choice,,,
Bayelsa,small_claims_courts,Small Claims Courts,compliance_reporting,2,"Compliance with publishing report",multi_choice,,,
Bayelsa,small_claims_courts,Small Claims Courts,number_of_courts,1,"Number of SCCs established and actively sitting in main city",count_band,,,
Bayelsa,workforce_development,Workforce Development and Social Infrastructure,gender_inclusivity,2,"Does the state meet the gender inclusivity benchmark?",yes_no,,,
Bayelsa,workforce_development,Workforce Development and Social Infrastructure,social_security_systems,1,"Does the state operate social security systems for vulnerable populations?",yes_no,,,
Benue,access_to_electricity,Access to Electricity,band_a_shares,1,"Band A Share of Feeders",percentage_band,,,
Benue,access_to_electricity,Access to Electricity,state_owned_electricity_regulator,2,"State Owned Electricity Regulation",yes_no_transition,,,
Benue,access_to_skilled_labour,Access to Skilled Labour,accredited_institutions,2,"How many accredited tertiary and technical institutions are available in the state?",count_band,,,
Benue,access_to_skilled_labour,Access to Skilled Labour,education_investment,1,"Post-secondary graduates relative to population",tier_band,,,
Benue,contract_enforcement,Contract Enforcement and Commercial Dispute Resolution,alternative_dispute_resolution,2,"Does the state have ADR?",yes_no,,,
Benue,contract_enforcement,Contract Enforcement and Commercial Dispute Resolution,commercial_court,1,"Does the state have a commercial court?",yes_no,,,
Benue,crisis_resilience,Crisis Resilience and Business Continuity,emergency_agency,1,"Does the state have a functional emergency management agency?",yes_no,,,
Benue,crisis_resilience,Crisis Resilience and Business Continuity,sema_funding,2,"Is the SEMA or equivalent agency visibly funded in the current state budget?",yes_no,,,
Benue,digital_connectivity,Digital Connectivity,coverage_5g,3,"5G coverage",yes_no,,,
Benue,digital_connectivity,Digital Connectivity,gov_services_online,2,"Availability of government services online",yes_partial_no,,,
Benue,digital_connectivity,Digital Connectivity,right_of_way,1,"Right of Way (RoW) fees",multi_choice,,,
Benue,export_import_facilitation,Export-Import Facilitation,StateChamberOfCommerce,2,"Have state chamber of commerce",yes_no,,,
Benue,export_import_facilitation,Export-Import Facilitation,totalExporters_perState,1,"Total number of exporters per state",count_band,,,
Benue,getting_credit,Getting Credit,boi_collaboration,1,"Does the state collaborate with BOI or any federal Agency to create access to credit?",yes_no,,,
Benue,getting_credit,Getting Credit,microfinance_banks,2,"Have owned microfinance banks or cooperatives?",yes_no,,,
