indicator_id,indicator_name,sub_indicator_id,question_number_within_indicator,question,response_type,option_value,option_label,points
contract_enforcement,Contract Enforcement and Commercial Dispute Resolution,commercial_court,1,Does the state have a commercial court?,yes_no,yes-commercial-court,Yes,2.5
contract_enforcement,Contract Enforcement and Commercial Dispute Resolution,commercial_court,1,Does the state have a commercial court?,yes_no,no-commercial-court,No,0
contract_enforcement,Contract Enforcement and Commercial Dispute Resolution,alternative_dispute_resolution,2,Does the state have ADR?,yes_no,yes-adr,Yes,2.5
contract_enforcement,Contract Enforcement and Commercial Dispute Resolution,alternative_dispute_resolution,2,Does the state have ADR?,yes_no,no-adr,No,0
market_access,Market Access and Competition,one_stop_shop,1,Does the State have a one stop shop?,yes_no,yes,Yes,2
market_access,Market Access and Competition,one_stop_shop,1,Does the State have a one stop shop?,yes_no,no,No,0
market_access,Market Access and Competition,public_incentives,2,Does the state have public incentives?,yes_no,yes,Yes,1
market_access,Market Access and Competition,public_incentives,2,Does the state have public incentives?,yes_no,no,No,0
getting_credit,Getting Credit,boi_collaboration,1,Does the state collaborate with BOI or any federal Agency to create access to credit?,yes_no,yes,Yes,3
getting_credit,Getting Credit,boi_collaboration,1,Does the state collaborate with BOI or any federal Agency to create access to credit?,yes_no,no,No,0
getting_credit,Getting Credit,microfinance_banks,2,Have owned microfinance banks or cooperatives?,yes_no,yes,Yes,2
getting_credit,Getting Credit,microfinance_banks,2,Have owned microfinance banks or cooperatives?,yes_no,no,No,0
export_import_facilitation,Export-Import Facilitation,totalExporters_perState,1,Total number of exporters per state,count_band,>=1000,≥ 1000,3
export_import_facilitation,Export-Import Facilitation,totalExporters_perState,1,Total number of exporters per state,count_band,500-999,500-999,2
export_import_facilitation,Export-Import Facilitation,totalExporters_perState,1,Total number of exporters per state,count_band,100-499,100-499,1
export_import_facilitation,Export-Import Facilitation,totalExporters_perState,1,Total number of exporters per state,count_band,0-99,0-99,0
export_import_facilitation,Export-Import Facilitation,StateChamberOfCommerce,2,Have state chamber of commerce,yes_no,yes,Yes,1
export_import_facilitation,Export-Import Facilitation,StateChamberOfCommerce,2,Have state chamber of commerce,yes_no,no,No,0
interstate_trade,Interstate Trade,haulage_fees,1,Elimination of haulage fees via law/executive order and enforcement,yes_no,yes,Yes,2
interstate_trade,Interstate Trade,haulage_fees,1,Elimination of haulage fees via law/executive order and enforcement,yes_no,no,No,0
interstate_trade,Interstate Trade,state_owned_transport_assets,2,"Presence of state owned airports, air carriers, rail, seaport and dry port (0, 1.5, 3 points)",points_scale,0,No state owned transport assets,0
interstate_trade,Interstate Trade,state_owned_transport_assets,2,"Presence of state owned airports, air carriers, rail, seaport and dry port (0, 1.5, 3 points)",points_scale,1.5,Some presence (equivalent to 1.5 points),1.5
interstate_trade,Interstate Trade,state_owned_transport_assets,2,"Presence of state owned airports, air carriers, rail, seaport and dry port (0, 1.5, 3 points)",points_scale,3,Comprehensive presence (equivalent to 3 points),3
paying_taxes,Paying Taxes,tax_payment_transparency,1,How does the state facilitate tax payment collection and provide transaction transparency to taxpayers?,multi_choice,digital-hybrid-e-payment,Digital/hybrid with e-payment and automatic receipts,2
paying_taxes,Paying Taxes,tax_payment_transparency,1,How does the state facilitate tax payment collection and provide transaction transparency to taxpayers?,multi_choice,manual-cash-limited-transparency,Manual/cash-based with limited transparency,0
paying_taxes,Paying Taxes,tax_filing_burden,2,How burdensome is the tax filing process for taxpayers in the state?,multi_choice,automated-consolidated,Automated or consolidated filing that reduces compliance effort,1
paying_taxes,Paying Taxes,tax_filing_burden,2,How burdensome is the tax filing process for taxpayers in the state?,multi_choice,manual-repetitive-high-burden,"Manual, repetitive filing with high administrative burden",0
paying_taxes,Paying Taxes,tax_incentive_transparency,3,How transparent and accessible is the state's tax incentive and exemption framework?,multi_choice,transparent-accessible-programs,"Transparent, publicly accessible tax incentive programs",1
paying_taxes,Paying Taxes,tax_incentive_transparency,3,How transparent and accessible is the state's tax incentive and exemption framework?,multi_choice,unclear-opaque-framework,Unclear or opaque tax incentive framework,0
grievance_redress_mechanisms,Grievance Redress Mechanisms,centralized_grm,1,Does the state have a centralized Grievance Redress Mechanism?,multi_choice,centralized-grm-available,Centralized GRM available,2
grievance_redress_mechanisms,Grievance Redress Mechanisms,centralized_grm,1,Does the state have a centralized Grievance Redress Mechanism?,multi_choice,no-centralized-grm,No centralized GRM,0
grievance_redress_mechanisms,Grievance Redress Mechanisms,accessibility_and_channels,2,How accessible is the state's Grievance Redress Mechanism?,multi_choice,easily-accessible-multiple-channels,Easily accessible via multiple channels,1
grievance_redress_mechanisms,Grievance Redress Mechanisms,accessibility_and_channels,2,How accessible is the state's Grievance Redress Mechanism?,multi_choice,difficult-to-find-access,Difficult to find or access,0
access_to_skilled_labour,Access to Skilled Labour,education_investment,1,Post-secondary graduates relative to population,tier_band,highest-tier,≫ average (733120+),1.5
access_to_skilled_labour,Access to Skilled Labour,education_investment,1,Post-secondary graduates relative to population,tier_band,second-tier,Above average (549840-733119),1.25
access_to_skilled_labour,Access to Skilled Labour,education_investment,1,Post-secondary graduates relative to population,tier_band,mid-tier,Within average (366560-549839),0.75
access_to_skilled_labour,Access to Skilled Labour,education_investment,1,Post-secondary graduates relative to population,tier_band,lowest-tier,Minimum average (219936-366559),0.5
access_to_skilled_labour,Access to Skilled Labour,education_investment,1,Post-secondary graduates relative to population,tier_band,below-average,Below average (<219936),0
access_to_skilled_labour,Access to Skilled Labour,accredited_institutions,2,How many accredited tertiary and technical institutions are available in the state?,count_band,seven-plus,7 or more universities,1.5
access_to_skilled_labour,Access to Skilled Labour,accredited_institutions,2,How many accredited tertiary and technical institutions are available in the state?,count_band,three-to-six,3 to 6 universities,1
access_to_skilled_labour,Access to Skilled Labour,accredited_institutions,2,How many accredited tertiary and technical institutions are available in the state?,count_band,one-to-two,1 or 2 universities,0.5
access_to_skilled_labour,Access to Skilled Labour,accredited_institutions,2,How many accredited tertiary and technical institutions are available in the state?,count_band,zero,No universities,0
